image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_02_1_fil_cr_ins_nmo_Sutr,YJ 1_02_1_fil_cr_ins_nmo_Sutr,https://www.instagram.com/p/CCpY_nAFRgc/,1,jpg,Sutro,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Toas,YJ 1_02_1_fil_cr_ins_nmo_Toas,https://www.instagram.com/p/CCpZFXJF47O/,1,jpg,Toaster,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Wald,YJ 1_02_1_fil_cr_ins_nmo_Wald,https://www.instagram.com/p/CCpZNSElwFT/,1,jpg,Walden,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_1977,YJ 1_02_1_fil_cr_ins_nmo_1977,https://www.instagram.com/p/CCpiNUilGSq/,1,jpg,1977,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Kelv,YJ 1_02_1_fil_cr_ins_nmo_Kelv,https://www.instagram.com/p/CCpitbuFJkm/,1,jpg,Kelvin,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Mave,YJ 1_02_1_fil_cr_ins_nmo_Mave,https://www.instagram.com/p/CCpjC0Slm06/,1,jpg,Maven,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Ginz,YJ 1_02_1_fil_cr_ins_nmo_Ginz,https://www.instagram.com/p/CCpjJdKFOb4/,1,jpg,Ginza,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Skyl,YJ 1_02_1_fil_cr_ins_nmo_Skyl,https://www.instagram.com/p/CCpjO7zltTM/,1,jpg,Skyline,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Dogp,YJ 1_02_1_fil_cr_ins_nmo_Dogp,https://www.instagram.com/p/CCpjU0hlqIr/,1,jpg,Dogpatch,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Broo,YJ 1_02_1_fil_cr_ins_nmo_Broo,https://www.instagram.com/p/CCpjZx-l3RH/,1,jpg,Brooklyn,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Hele,YJ 1_02_1_fil_cr_ins_nmo_Hele,https://www.instagram.com/p/CCpjlgsFbnn/,1,jpg,Helena,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Ashb,YJ 1_02_1_fil_cr_ins_nmo_Ashb,https://www.instagram.com/p/CCpjpnyFvru/,1,jpg,Ashby,original,iaslab_enhanced,
1_02_1_fil_cr_ins_nmo_Char,YJ 1_02_1_fil_cr_ins_nmo_Char,https://www.instagram.com/p/CCpjurQlLHV/,1,jpg,Charmes,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_nfit,YJ 1_03_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CCpldXfFGt0/,1,jpg,nfit,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Clar,YJ 1_03_1_fil_cr_ins_nmo_Clar,https://www.instagram.com/p/CCplpBnF4OF/,1,jpg,Clarendon,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Ging,YJ 1_03_1_fil_cr_ins_nmo_Ging,https://www.instagram.com/p/CCpls2RFhqv/,1,jpg,Gingham,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Moon,YJ 1_03_1_fil_cr_ins_nmo_Moon,https://www.instagram.com/p/CCplw-dlRCH/,1,jpg,Moon,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Lark,YJ 1_03_1_fil_cr_ins_nmo_Lark,https://www.instagram.com/p/CCpl5Tal2to/,1,jpg,Lark,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Reye,YJ 1_03_1_fil_cr_ins_nmo_Reye,https://www.instagram.com/p/CCpl9NAFzON/,1,jpg,Reyes,original,iaslab_enhanced,
